,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
0,uss,psicología,Estilos de liderazgo y compromiso organizacional en una municipalidad de la región Lambayeque,"La presente investigación tuvo como objetivo conocer la relación entre los estilos de liderazgo y el compromiso organizacional en una municipalidad de la región Lambayeque, para lo cual se contó con la participación de ...","Uriarte Villalobos, Anahis Alexandra",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7833/Uriarte%20Villalobos%2c%20Anahis%20Alexandra.pdf
1,uss,psicología,Apoyo social percibido y resiliencia en internos drogodependientes en rehabilitación de la ciudad de Chiclayo,La presente investigación tiene como objetivo principal determinar si existe relación entre el apoyo social percibido y resiliencia en internos de un centro de rehabilitación de Chiclayo. Para ello se contó con la ...,"Burga Flores, Milagros del Pilar",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6591/Burga%20Flores%2c%20Milagros%20del%20Pilar.pdf
2,uss,psicología,Procrastinación académica y hábitos de estudio en alumnos de quinto grado de secundaria en una institución educativa de Chiclayo 2018,"En el presente trabajo de Investigación se buscó encontrar si existe correlación entre las variables Procrastinación Académica y Hábitos de Estudio. La investigación corresponde a la ciudad de Chiclayo - Perú, la muestra ...","Coronado Hurtado, Cristian Adrian",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6653/Coronado%20Hurtado%2c%20Cristian%20Adrian.pdf
3,uss,psicología,Esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo,"La presente investigación buscó determinar si existen diferencias de los esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo, cuyo ...","Calderón Briones, Anggela Madeleine",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6935/Calder%c3%b3n%20Briones%2c%20Anggela%20Madeleine.pdf
4,uss,psicología,Conducta prosocial y regulación emocional en estudiantes de secundaria de una institución educativa de Chiclayo,"El estudio de la conducta prosocial y regulación emocional es relevante para la psicología, al ser constructos que contribuyen a la convivencia social saludable y a la psicología positiva y bienestar emocional. El objetivo ...","Mendoza Bustamante, Nelsi",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6858/Mendoza%20Bustamante%20Nelsi.pdf
5,uss,psicología,Dependencia al móvil y calidad de vida en estudiantes de una universidad privada de Chiclayo,"El presente estudio estimó como objetivo principal determinar la relación de la variable dependencia al móvil y calidad de vida, obteniéndose una relación negativa moderada. El diseño y tipo de investigación fue ...","Cotrina Vilchez, Hilda Gabriela",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7773/Cotrina%20Vilchez%2c%20Hilda%20Gabriela.pdf
6,uss,psicología,Procrastinación y estrés académico en estudiantes de una universidad particular de la ciudad de Chiclayo,"La presente investigación cuantitativa con diseño correlacional se realizó con el propósito de analizar si existe relación entre procrastinación y estrés académico en estudiantes de una universidad particular de Chiclayo, ...","Díaz Salazar, Jorge Luis",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7746/D%c3%adaz%20Salazar%2c%20Jorge%20Luis__.pdf
7,uss,psicología,Estilos de crianza y personalidad en estudiantes de una institución educativa de la ciudad de Chiclayo,"Los estilos de crianza suelen desempeñar un papel preponderante en el desarrollo de los adolescentes, incluyendo la configuración de rasgos personales. Es por ello que, el presente estudio tuvo como finalidad, determinar ...","Torres Delgado, María del Rosario",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7775/Torres%20Delgado%2c%20Mar%c3%ada%20del%20Rosario.pdf
8,uss,psicología,Desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo,El tipo de investigación es correlacional y el objetivo de la presente investigación fue determinar la relación entre desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo. ...,"González Guevara, Leydy Bertilda",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7694/Gonz%c3%a1lez%20Guevara%20Leydy%20Bertilda.pdf
9,uss,psicología,Justicia y ciudadanía organizacional en colaboradores de un establecimiento de salud de Chiclayo,"El presente es un estudio correlacional entre la justicia y ciudadanía organizacional de los colaboradores de un establecimiento de salud en la ciudad de Chiclayo. La muestra de estudio se conformó por 120 sujetos, con ...","Cueva Corrales, Karen Juliana; Piedra Saldívar, Tatiana Ysabel",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7679/Cueva%20Corrales%20Karen%20%26%20Piedra%20Sald%c3%advar%20Tatiana.pdf
10,uss,psicología,Estilos de liderazgo y compromiso organizacional en una municipalidad de la región Lambayeque,"La presente investigación tuvo como objetivo conocer la relación entre los estilos de liderazgo y el compromiso organizacional en una municipalidad de la región Lambayeque, para lo cual se contó con la participación de ...","Uriarte Villalobos, Anahis Alexandra",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7833/Uriarte%20Villalobos%2c%20Anahis%20Alexandra.pdf
11,uss,psicología,Apoyo social percibido y resiliencia en internos drogodependientes en rehabilitación de la ciudad de Chiclayo,La presente investigación tiene como objetivo principal determinar si existe relación entre el apoyo social percibido y resiliencia en internos de un centro de rehabilitación de Chiclayo. Para ello se contó con la ...,"Burga Flores, Milagros del Pilar",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6591/Burga%20Flores%2c%20Milagros%20del%20Pilar.pdf
12,uss,psicología,Procrastinación académica y hábitos de estudio en alumnos de quinto grado de secundaria en una institución educativa de Chiclayo 2018,"En el presente trabajo de Investigación se buscó encontrar si existe correlación entre las variables Procrastinación Académica y Hábitos de Estudio. La investigación corresponde a la ciudad de Chiclayo - Perú, la muestra ...","Coronado Hurtado, Cristian Adrian",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6653/Coronado%20Hurtado%2c%20Cristian%20Adrian.pdf
13,uss,psicología,Esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo,"La presente investigación buscó determinar si existen diferencias de los esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo, cuyo ...","Calderón Briones, Anggela Madeleine",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6935/Calder%c3%b3n%20Briones%2c%20Anggela%20Madeleine.pdf
14,uss,psicología,Conducta prosocial y regulación emocional en estudiantes de secundaria de una institución educativa de Chiclayo,"El estudio de la conducta prosocial y regulación emocional es relevante para la psicología, al ser constructos que contribuyen a la convivencia social saludable y a la psicología positiva y bienestar emocional. El objetivo ...","Mendoza Bustamante, Nelsi",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6858/Mendoza%20Bustamante%20Nelsi.pdf
15,uss,psicología,Dependencia al móvil y calidad de vida en estudiantes de una universidad privada de Chiclayo,"El presente estudio estimó como objetivo principal determinar la relación de la variable dependencia al móvil y calidad de vida, obteniéndose una relación negativa moderada. El diseño y tipo de investigación fue ...","Cotrina Vilchez, Hilda Gabriela",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7773/Cotrina%20Vilchez%2c%20Hilda%20Gabriela.pdf
16,uss,psicología,Procrastinación y estrés académico en estudiantes de una universidad particular de la ciudad de Chiclayo,"La presente investigación cuantitativa con diseño correlacional se realizó con el propósito de analizar si existe relación entre procrastinación y estrés académico en estudiantes de una universidad particular de Chiclayo, ...","Díaz Salazar, Jorge Luis",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7746/D%c3%adaz%20Salazar%2c%20Jorge%20Luis__.pdf
17,uss,psicología,Estilos de crianza y personalidad en estudiantes de una institución educativa de la ciudad de Chiclayo,"Los estilos de crianza suelen desempeñar un papel preponderante en el desarrollo de los adolescentes, incluyendo la configuración de rasgos personales. Es por ello que, el presente estudio tuvo como finalidad, determinar ...","Torres Delgado, María del Rosario",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7775/Torres%20Delgado%2c%20Mar%c3%ada%20del%20Rosario.pdf
18,uss,psicología,Desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo,El tipo de investigación es correlacional y el objetivo de la presente investigación fue determinar la relación entre desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo. ...,"González Guevara, Leydy Bertilda",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7694/Gonz%c3%a1lez%20Guevara%20Leydy%20Bertilda.pdf
19,uss,psicología,Justicia y ciudadanía organizacional en colaboradores de un establecimiento de salud de Chiclayo,"El presente es un estudio correlacional entre la justicia y ciudadanía organizacional de los colaboradores de un establecimiento de salud en la ciudad de Chiclayo. La muestra de estudio se conformó por 120 sujetos, con ...","Cueva Corrales, Karen Juliana; Piedra Saldívar, Tatiana Ysabel",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7679/Cueva%20Corrales%20Karen%20%26%20Piedra%20Sald%c3%advar%20Tatiana.pdf
20,uss,psicología,Engagement y calidad de vida en colaboradores de una empresa privada de Chiclayo,"El presente estudio es de tipo correlacional transversal, cuyo objetivo fue analizar la relación entre el engagement y la calidad de vida en colaboradores de una empresa privada de Chiclayo. La muestra estuvo conformada ...","Rivera de la Cruz, Fiorella",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7717/Rivera%20de%20la%20Cruz%20Fiorella.pdf
21,uss,psicología,"Dependencia emocional y calidad de vida en jóvenes universitarios. Chiclayo, 2019","El estudio presenta un diseño correlacional transversal, cuyo objetivo era determinar la relación entre la dependencia emocional y la calidad de vida en jóvenes universitarios de la cuidad de Chiclayo. Participaron 100 ...","Carrera Carrasco, Angela Estefany",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7727/Carrera%20Carrasco%2c%20Angela%20Estefany.pdf
22,uss,psicología,Convivencia/disciplina en el aula y depresión infantil en estudiantes del nivel primario en un colegio estatal de Chiclayo 2019,"Hoy en día las instituciones educativas están inmersas en innumerables casos de indisciplina e inadecuada convivencia escolar, así mismo se observa tristeza y bajo rendimiento académico, es por eso que se presume que las ...","Pisfil Olivares, Sarita Del Pilar",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7763/Pisfil%20Olivares%2c%20Sarita%20Del%20Pilar.pdf
23,uss,psicología,Adicción a internet y estrés académico en estudiantes de una universidad privada de Chiclayo,Este trabajo es un estudio el cual tuvo como propósito principal examinar la relación entre la adicción al internet y el estrés académico en alumnos universitarios de Chiclayo. La muestra se constituyó con 200 universitarios ...,"Carrión Colchado, Billy Johnson",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7788/Carri%c3%b3n%20Colchado%2c%20Billy%20Johnson.pdf
24,uss,psicología,Sexismo ambivalente y actitud hacia la violencia de género en adolescentes de tres instituciones educativas de Chiclayo,La presente investigación tiene como objetivo determinar la relación entre sexismo ambivalente y las actitudes hacia la violencia de género en adolescentes de instituciones educativas públicas. Fueron considerados como ...,"Vieira de Oliveira, Danielle",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7782/Danielle%20Vieira%20de%20Oliveira.pdf
25,uss,psicología,Habilidades sociales y clima social familiar en estudiantes de una institución educativa estatal de Jaén,"La presente investigación titulada “Habilidades sociales y Clima Social Familiar en estudiantes de una institución educativa estatal de Jaén”, tiene como objetivo general: determinar la relación entre las habilidades sociales ...","Bances Goicochea, Rosa",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7766/Bances%20Goicochea%2c%20Rosa.pdf
26,uss,psicología,Estilos educativos parentales y conductas disruptivas en niños de primaria de un colegio nacional de la ciudad de Chiclayo - 2019,La presente investigación tiene como objetivo general determinar la relación entre los estilos educativos parentales y conductas disruptivas en niños de primaria de un colegio nacional de la ciudad de Chiclayo. El estudio ...,"La Serna Matute, Carlotta Francessca",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7772/La%20Serna%20Matute%2c%20Carlotta%20Francessca.pdf
27,uss,psicología,Convivencia escolar entre estudiantes de secundaria de una institución pública y una privada de la ciudad de Lima,"El objetivo de esta investigación consistió en determinar las diferencias de la convivencia escolar entre estudiantes de secundaria de una institución pública y una privada de la ciudad de Lima, concretamente en las ...","Caballero Sánchez, Claudia Caroll",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7779/Caballero%20S%c3%a1nchez%2c%20Claudia%20Caroll.pdf
28,uss,psicología,"Actitudes ante situaciones de agravio y su relación con la depresión en mujeres del distrito Papayal, Tumbes","En el informe de investigación se estudiaron 60 mujeres denunciantes a la Comisaría del distrito Papayal, Tumbes; con objetivo de determinar la relación entre las Actitudes ante Situaciones de Agravio y la Depresión. Se ...","Nizama Ruiz, Mary Luz",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7840/Nizama%20Ruiz%2c%20Mary%20Luz.pdf
29,uss,psicología,"Clima social familiar y bullying en estudiantes de una institución educativa secundaria de Chiclayo, 2019","El propósito de esta investigación fue el de establecer la relación entre Clima Social Familiar y Bullying, en adolescentes de una institución educativa de Chiclayo, realizándose un diseño de investigación descriptivo ...","Flores Maco, Nadia Katherine",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7878/Flores%20Maco%2c%20Nadia%20Katherine.pdf
30,uss,psicología,"Procrastinación académica y hábitos de estudio en alumnos de una universidad privada de la ciudad de Chiclayo, 2019","El objetivo de la presente investigación es determinar la relación entre los niveles de procrastinación académica y hábitos de estudio en alumnos de una universidad privada de la ciudad de Chiclayo, en una muestra ...","Chanamé Moreno, Alexis Alejandro Sebastiany",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7893/Chanam%c3%a9%20Moreno%2c%20Alexis%20Alejandro%20Sebastiany.pdf
31,uss,psicología,Valores interpersonales y homofobia en estudiantes de una universidad privada de Chiclayo – 2018,"Esta investigación de tipo no experimental y diseño correlacional, tuvo como objetivo general determinar la relación entre los valores interpersonales y homofobia en los estudiantes de una Universidad privada de Chiclayo, ...","Paredes Reque, Leslie Esthefania",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7854/Paredes%20Reque%2c%20Leslie%20Esthefania.pdf
32,uss,psicología,Procrastinación y rendimiento laboral en colaboradores de una organización pública de Lambayeque,La presente investigación tiene como objetivo determinar la relación entre procrastinación y rendimiento laboral. La investigación de tipo básica-cuantitativa y diseño transversal-correlacional contó con una muestra de ...,"Urcia Avellaneda, Lorena Stefany",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7835/Urcia%20Avellaneda%2c%20Lorena%20Stefany.pdf
33,uss,psicología,Diferencia entre los estilos de crianza en una zona rural y una zona urbana en adolescentes,"La presente investigación tiene como objetivo identificar la diferencia entre los estilos de crianza en una zona rural y una zona urbana en adolescentes, teniendo como esquema un diseño descriptivo comparativo, para lo ...","Santos Pariacuri, María Angelita; Sánchez Ballona, Nancy Paola",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7804/Santos%20Pariacuri%2c%20Mar%c3%ada%20%26%20S%c3%a1nchez%20Ballona%2c%20Nancy.pdf
34,uss,psicología,Afrontamiento al estrés y bienestar psicológico en estudiantes de una institución Educativa Estatal de la ciudad de Lima,El objetivo de la presente investigación fue hallar la relación entre Afrontamiento al estrés y Bienestar psicológico en estudiantes de una institución educativa estatal de la ciudad de Lima. Se desarrolló una investigación ...,"Canchari Flores, Yanet",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7510/Canchari%20Flores%2c%20Yanet.pdf
35,uss,psicología,Violencia en el noviazgo y crianza percibida en adolescentes de una Institución Educativa Estatal de Jaén,"Este estudio buscó comprobar la asociación entre violencia en el noviazgo y la crianza percibida en adolescentes de una institución educativa estatal de Jaén. Desarrollándose una investigación de tipo transversal, ...","Calderón Guerrero, Rosa Anshela",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7421/Calder%c3%b3n%20Guerrero%20Rosa%20Anshela.pdf
36,uss,psicología,"Bienestar psicológico y actitudes maternas, en madres de una institución educativa pública del distrito de Reque, 2019","Esta investigación de carácter correlacional, tuvo como objetivo de estudio conocer la relación entre el bienestar psicológico y las actitudes maternas en la madres de una institución educativa pública del distrito de ...","Celis Escurra, Blanca Estela",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7695/Celis%20Escurra%20Blanca%20Estela.pdf
37,uss,psicología,Estilos de humor y resiliencia en estudiantes de una universidad privada de Chiclayo,"El presente, es un estudio correlacional de tipo transversal que aborda los estilos de humor y la resiliencia en estudiantes universitarios de la ciudad de Chiclayo. Se trabajó con 200 universitarios hombres y mujeres ...","Gamarra Moncayo, José Rolando",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7687/Gamarra%20Moncayo%20Jos%c3%a9%20Rolando.pdf
38,uss,psicología,Celos e infidelidad en estudiantes de una universidad privada de Chiclayo – 2019,"El presente estudio tuvo como objetivo determinar la relación entre celos e infidelidad, en estudiantes de una Universidad Privada de Chiclayo. El estudio fue tipo cuantitativa, diseño transversal – correlacional, la ...","Barrios Toro, Lidia Luzmila",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7725/Barrios%20Toro%2c%20Lidia%20Luzmila.pdf
39,uss,psicología,Estilos del humor y calidad de vida en estudiantes de una universidad privada de Pimentel,Este estudio se realiza con el objetivo de Determinar si existe relación significativa entre los estilos del humor y la calidad de vida en estudiantes de una Universidad Privada de Pimentel de la Ciudad de Chiclayo. Se ...,"Cumpén Gonzáles, Lesly Elizabeth",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7724/Cump%c3%a9n%20Gonz%c3%a1les%2c%20Lesly%20Elizabeth.pdf
40,uss,psicología,Dimensiones de la personalidad y autocontrol en estudiantes de una institución educativa de la ciudad de Chiclayo 2019,"La investigación tuvo como objetivo determinar la relación entre las dimensiones de personalidad y el autocontrol en adolescentes de una institución educativa de Chiclayo, utilizando el método hipotético deductivo y ...","Tello Delgado, Katlheen Maineth",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7852/Tello%20Delgado%2c%20Katlheen%20Maineth.pdf
41,uss,psicología,Dimensiones de la personalidad y dependencia emocional en estudiantes de una universidad de Lambayeque,La presente investigación tuvo como objetivo principal establecer la relación entre dimensiones de la personalidad y dependencia emocional; además de elaborar un programa de intervención para estudiantes universitarios ...,"Sandoval Carbajal, Rosario Anelí",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7810/Sandoval%20Carbajal%2c%20Rosario%20Anel%c3%ad.pdf
42,uss,psicología,"Estilos de crianza y habilidades sociales en estudiantes de una institución educativa de la ciudad de Lima, 2019","La presente investigación tiene como objetivo general determinar la relación entre los estilos de crianza y las habilidades sociales en estudiantes de una institución educativa de la ciudad de Lima, así como la relación ...","Velasquez Quispe, Marisol",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7838/Velasquez%20Quispe%2c%20Marisol.pdf
43,uss,psicología,"Compromiso organizacional y motivación laboral en trabajadores en empresas de materia prima de Chiclayo, 2019","La presente investigación tuvo como objetivo principal establecer la relación entre compromiso organizacional y motivación laboral. Se utilizó un tipo de investigación básica con enfoque cuantitativo, además, se usó el ...","Sánchez Mundaca, Sachi Hillary Mercedes",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7837/S%c3%a1nchez%20Mundaca%2c%20Sachi%20Hillary%20Mercedes.pdf
44,uss,psicología,"Empatía cognitiva – afectiva y regulación emocional en adolescentes infractores, Chiclayo","La presente investigación tiene como objetivo determinar entre la empatía cognitiva – afectiva con la regulación emocional en adolescentes infractores de Chiclayo, teniendo como esquema un diseño correlacional, para lo ...","Ramos Rodríguez, Leidy Melina",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7787/Ramos%20Rodr%c3%adguez%2c%20Leidy%20Melina.pdf
45,uss,psicología,Síndrome de Boreout y calidad de sueño en colaboradores de una organización de Chiclayo,"El presente trabajo, es un estudio descriptivo correlacional de tipo transversal que aborda el síndrome de boreout y calidad de sueño en colaboradores de una organización dedicada a la fabricación de envase Polipropileno ...","Villalobos Arrué, Sonia Mareli",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7781/Villalobos%20Arru%c3%a9%2c%20Sonia%20Mareli.pdf
46,uss,psicología,Adaptación de conducta y clima social escolar en estudiantes de cuarto grado de secundaria de una institución educativa de San Ignacio,El objetivo del presente trabajo de investigación fue determinar la relación entre adaptación de conducta y clima social escolar en estudiantes de cuarto grado de secundaria de una institución educativa de san Ignacio. ...,"Ramírez Contreras, Sinecio Arcadio",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7869/Ram%c3%adrez%20Contreras%2c%20Sinecio%20Arcadio.pdf
47,uss,psicología,"Creencias irracionales y autoconcepto en internos de un centro de rehabilitación del distrito de Carabayllo, 2018.",El presente estudio tuvo como objetivo determinar la relación significativa entre las creencias irracionales y el autoconcepto en internos de un Centro de Rehabilitación del Distrito de Carabayllo - Lima. Seleccionándose ...,"Rivera Revolledo, Daiana Victoria",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7736/Rivera%20Revolledo%20Daiana%20Victoria.pdf
48,uss,psicología,Estilos de socialización parental y actitudes sexuales en estudiantes de una institución educativa en la ciudad de Lambayeque,"Los estilos de socialización parental, ampliamente estudiados, tienen relevancia significativa en el estudio de desarrollo de los adolescentes; más aún, en el desarrollo sexual. Es por ello que la presente investigación ...","Campos Díaz, Sheyla Belén",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7764/Campos%20D%c3%adaz%2c%20Sheyla%20Bel%c3%a9n.pdf
49,uss,psicología,Religiosidad y homofobia en estudiantes de una universidad privada de Chiclayo,La presente investigación tuvo como objetivo conocer la relación en religiosidad y homofobia en estudiantes de una universidad privada de Chiclayo. La muestra está constituida por 130 estudiantes en dónde el 58.5% son ...,"Salazar Terrones, Jhelena Yadiry",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7735/Salazar%20Terrones%2c%20Jhelena%20Yadiry.pdf
50,uss,psicología,Fatiga y estrés en docentes universitarios según características socio demográficas,"Esta tesis busca conocer las diferencias en el estrés y la fatiga. El estudio es Cuantitativo,central y porencuestas. La investigación es no experimental,correlacional con método comparativo. La población es de 200 docentes ...","Navarro Sampén, Daniel Gustavo",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7216/Navarro%20Samp%c3%a9n%2c%20Daniel%20Gustavo.pdf
51,uss,psicología,Dependencia emocional y resiliencia en internos del penal de Picsi,"La presente investigación tuvo como objetivo determinar la relación entre la dependencia emocional y Resiliencia en internos del penal de Picsi, cuya muestra estuvo conformada por 351 reos entre edades que oscilan entre ...","Carhuatocto Niño, Analy",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7036/Carhuatocto%20Ni%c3%b1o%20Analy.pdf
52,uss,psicología,Socialización parental y conducta delictiva y violenta en adolescentes de cuarto y quinto de secundaria de una institución educativa pública en Chiclayo,La presente investigación se desarrolló con el objetivo de determinar la relación entre la socialización parental conducta delictiva violenta en adolescentes de cuarto y quinto de secundaria de una Institución Educativa ...,"CHAMAYA CARHUAJULCA, LUZ MARINA",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7030/CHAMAYA%20CARHUAJULCA%20LUZ%20MARINA.pdf
53,uss,psicología,Funcionamiento familiar y resentimiento en adolescentes infractores privados de su libertad de Lambayeque,"Este estudio de investigación tuvo como objetivo general, determinar la relación entre el funcionamiento familiar y el resentimiento en adolescentes infractores privados de su libertad de Lambayeque. Este estudio fue de ...","Fernández Ballona, Martha Fiorella",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6905/Fern%c3%a1ndez%20Ballona%20Martha%20Fiorella.pdf
54,uss,psicología,"Diagnóstico y caracterización del ""susto"" como síndrome cultural en pobladores del distrito de Mórrope, región Lambayeque, 2018","La presente investigación de tipo descriptiva ha tenido como objetivo caracterizar psicológicamente el ""susto"" como síndrome cultural en pobladores del distrito de Mórrope en la región Lambayeque; para lo cual se trabajó ...","Rodríguez Vega, Juan Luis",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7224/Rodr%c3%adguez%20Vega%2c%20Juan%20Luis.pdf
55,uss,psicología,Síndrome de burnout y satisfacción laboral en docentes con trabajo remoto de una institución educativa privada de Moquegua 2020,La investigación tuvo como propósito analizar la correlación entre el síndrome de burnout y la satisfacción laboral en docentes que están realizando trabajo remoto durante la etapa de pandemia COVID 19 de una institución ...,"Carrillo Béjar, Jorge Lucio",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7297/Carrillo%20B%c3%a9jar%2c%20Jorge%20Lucio.pdf
56,uss,psicología,Terapia racional emotiva para reestructurar las creencias irracionales en pacientes drogodependientes de una clínica en Huaral Lima 2019,La presente investigación tiene como objetivo proponer un modelo de intervención psicológica llamada Terapia Racional Emotiva (TRE) que ayude a reestructurar las creencias irracionales en los pacientes de un centro ...,"Díaz Márquez, Frank Francisco",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7326/D%c3%adaz%20M%c3%a1rquez%20Frank%20Francisco.pdf
57,uss,psicología,Estilos de vida y calidad de vida de los alumnos de secundaria de una institución educativa de la ciudad de Chiclayo,Este trabajo de investigación se centró en determinar la asociación existente entre estilos de vida y calidad de vida de los estudiantes de nivel secundario de una Institución Educativa de la ciudad de Chiclayo. Siendo ...,"Vera Martínez, Doris Soledad",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7387/Vera%20Mart%c3%adnez%20Doris%20Soledad.pdf
58,uss,psicología,"Clima social familiar y bullying en estudiantes de secundaria de una institución educativa de Chiclayo, 2019",Este estudio tuvo como finalidad determinar la relación entre la variable clima social familiar y el bullying en estudiantes de primer y segundo de secundaria de una institución educativa de Chiclayo. El estudio es de ...,"Piscoya Sánchez, Katherine Jazmin",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/8006/Piscoya%20S%c3%a1nchez%20Katherine%20Jazmin.pdf
59,uss,psicología,Habilidades sociales y cólera-hostilidad en alumnos de secundaria de una Institución Educativa en Villa María del Triunfo - Lima,Se estudiaron las teorías relacionadas a la cólera-hostilidad y a las habilidades sociales más destacadas. El objetivo de la investigación fue determinar la relación entre las habilidades sociales y la cólera hostilidad ...,"Flores Alvarez, Iris Mariella",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/8080/Flores%20Alvarez%20Iris%20Mariella.pdf
60,uss,psicología,Actitudes machistas en jóvenes y adultos,"La presente investigación tuvo como objetivo analizar las investigaciones científicas en materia de actitudes machistas en jóvenes y adultos, para generar una mejor interpretación de dicho constructo. El estudio se ...","Carranza Cruz, Katherine Sadith; Estela Mendoza, Maria Enma",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/8070/Carranza%20Cruz%20Katherine%20%26%20Estela%20Mendoza%20Maria_.pdf
61,uss,psicología,Resiliencia y calidad de vida en adultos mayores de un centro de Chiclayo,"Esta investigación tuvo como objetivo determinar la relación entre resiliencia y calidad de vida en adultos mayores de un centro de Chiclayo; se utilizó un enfoque cuantitativo, con un tipo de diseño transversal y diseño ...","Sialer Heredia, Tricsy Eyllen",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/8277/Sialer%20Heredia%20Tricsy%20Eyllen.pdf
