,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
490,autonoma,psicología,Estilos de crianza y conductas disruptivas en escolares de 4° a 6° grado del nivel primaria de una institución educativa en Villa El Salvador,El objetivo de este estudio fue determinar la relación entre los estilos de crianza y las conductas disruptivas en escolares de 4° a 6° grado del nivel primaria de una institución educativa de Villa el Salvador. El tipo ...,"Retes Sánchez, Diana Victoria",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1611/Retes%20S%c3%a1nchez%2c%20Diana%20Victoria.pdf
491,autonoma,psicología,Estilos de crianza y actitud frente al embarazo adolescente en estudiantes de un colegio de Lima Sur,El presente estudio se realizó para conocer principalmente la relación entre estilos de crianza y actitud frente al embarazo adolescente en estudiantes de un colegio de Lima Sur. El diseño de la investigación fue no ...,"Romero Ramos, Sandra Raquel",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1454/Romero%20Ramos%2c%20Sandra%20Raquel.pdf
492,autonoma,psicología,"Ansiedad estado-rasgo y depresión en alumnos de educación secundaria de una institución educativa privada del distrito de Tacna, 2021","El presente estudio analizó la relación entre ansiedad estado-rasgo y depresión en alumnos de educación secundaria. Por ello se evaluó a 181 alumnos de 4to y 5to año de secundaria de ambos sexos, entre edades de 15 y 16 ...","Laura Ale, Damian Julio Akihito",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1431/Laura%20Ale%2c%20Damian%20Julio%20Akihito.pdf
493,autonoma,psicología,Agresión y adicción a las redes sociales en estudiantes de psicología de una universidad de Lima Sur,Este estudio consideró comprobar la vinculación de la agresión y adicción a redes sociales en una muestra probabilística conformada por 575 universitarios de psicología de una casa de estudio superior del cono Sur. La ...,"Aldave Ludeña, Fiorella Cristina",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1183/Aldave%20Ludena%2c%20Fiorella%20Cristina.pdf
494,autonoma,psicología,"Procrastinación, creencias irracionales académicas, ansiedad, miedo y rumiación en estudiantes de una universidad privada de Villa El Salvador","Se estableció la relación entre procrastinación, creencias irracionales académicas, ansiedad, miedo y rumiación en estudiantes de una universidad privada de Villa El Salvador, con una metodología de tipo correlacional con ...","Chirio Aldazabal, Diego Bernardo",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1028/Chirio%20Aldazabal%2c%20Diego%20Bernardo.pdf
495,autonoma,psicología,Comunicación familiar en estudiantes de secundaria con altos y bajos rasgos de dependencia emocional en cuatro instituciones educativas de Villa El Salvador,Se comparó el nivel de comunicación padres-adolescentes en función a los altos y bajos rasgos de dependencia emocional en 563 estudiantes de secundaria de cuatro instituciones educativas de Villa El Salvador. Los instrumentos ...,"Baca Falcón, Karen Claudia",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1099/Baca%20Falcon%2c%20Karen%20Claudia.pdf
496,autonoma,psicología,Ansiedad ante los exámenes y hábitos de estudio en estudiantes de una universidad privada de Villa El Salvador,Se estableció la relación entre ansiedad ante los exámenes y hábitos de estudio en estudiantes de una universidad privada de Villa El Salvador. Se empleó una metodología de tipo correlacional con un diseño no experimenta ...,"Grijalba Mondragón, Ana Stefany",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1365/Grijalba%20Mondragon%2c%20Ana%20Stefany.pdf
497,autonoma,psicología,Procesamiento de las emociones y distorsión cognitiva en estudiantes universitarios de Colombia y Perú que presentan conducta agresiva,Esta investigación tuvo como objetivo establecer la relación entre el procesamiento de las emociones y las distorsiones cognitivas en universitarios de Colombia y Perú que presentan conductas agresivas. El tipo de investigación ...,"Urrutia Romero, Thalía Elva",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1439/Urrutia%20Romero%2c%20Thalia%20Elva.pdf
498,autonoma,psicología,Depresión y ansiedad ante el Covid-19 en pacientes de un policlínico del centro poblado de Pacanguilla en La Libertad,"150 pacientes atendidos en el policlínico Multiservicios Médicos Galenos E.I.R.L ubicado en el centro poblado de Pacanguilla en el departamento de la Libertad, fueron estudiados mediante un muestro no probabilístico de ...","Correa Teran, Hyeraldina",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1481/Correa%20Teran%2c%20Hyeraldina.pdf
499,autonoma,psicología,Trastorno por déficit de atención con hiperactividad en estudiantes de primaria entre instituciones educativas públicas y privadas de Lima Sur,El propósito de esta investigación fue comprar el TDAH entre instituciones educativas públicas y privadas de Lima Sur. La investigación fue de tipo descriptivo-comparativo con diseño no experimental y transversal. La muestra ...,"Diez Palacios, Edson Martín",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1162/Diez%20Palacios%2c%20Edson%20Martin.pdf
